record_id,provider,title,price_usd,merchant_display_text,ever_returned_in_five_validated_games,within_800_record_price,example_family,grinding_or_bean_to_cup_text,milk_froth_or_steam_text,pressure_marketing_15_or_20_bar,title_truncated_flag,merchant_aggregate_flag,numeric_only_merchant_field,alibaba_merchant_text,sponsored
bing-a495b0272b1d91934b46,bing,Breville BES450BSS Bambino Espresso M…,299.95,Amazon.com,False,True,Breville Bambino (other),False,False,False,True,False,False,False,True
bing-74e0ec1d3ab1ac41062c,bing,"MIROX Espresso Machine 15 Bar, Coffee Maker Wit…",209.99,Amazon.com,False,True,unclassified by example rules,False,False,True,True,False,False,False,True
bing-2bf4c80c2bb57272c586,bing,"CUSIMAX Espresso Machine With Grinder, 20 Bar Profes…",161.49,Amazon.com,False,True,unclassified by example rules,True,False,True,True,False,False,False,True
bing-d4e6eb7ab90739f4dedb,bing,COWSAR 20 Bar Espresso Machine With Grinder & Mil…,333.31,Amazon.com,False,True,unclassified by example rules,True,False,True,True,False,False,False,True
bing-2946e532dd33748dfc74,bing,Philips Baristina Latte Espresso Machine With Mil…,499.95,Williams Sonoma,False,True,Philips Baristina,False,False,False,True,False,False,False,True
bing-306ad71c318b0d82c61b,bing,"Breville - The Barista Touch Espresso Machine With 9 Bars Of Pressure, Milk Frother And Integrated Grinder - Stainless Steel",999.95,Best Buy,False,False,Breville Barista Touch (other),True,True,False,False,False,False,False,False
bing-18c5254095648822242f,bing,"Ninja - Autobarista Fully Automatic Espresso Machine & Frother, 10 Drink Presets, Built-In Grinder - Stainless Steel",899.99,Best Buy,False,False,Ninja AutoBarista,True,True,False,False,False,False,False,False
bing-af3bf359615054d01c62,bing,"Breville - The Barista Touch Espresso Machine With 9 Bars Of Pressure, Milk Frother And Integrated Grinder - Stainless Steel",969.00,Best Buy Marketplace,False,False,Breville Barista Touch (other),True,True,False,False,False,False,False,False
bing-cd11aaaefd5c25f214f5,bing,"Breville - The Barista Express Espresso Machine With 15 Bars Of Pressure, Milk Frother And Integrated Grinder - Stainless Steel",689.99,Best Buy,False,True,Breville Barista Express (other),True,True,True,False,False,False,False,False
bing-c3b5a1e881e3c5f9abdf,bing,"Professional 20-Bar Espresso Machine With Built-In Grinder - Precision Extraction, Integrated Milk Frother Wand For Cappuccinos/Lattes, And Compact Design. HAVATO",256.11,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-72438b29a66055ffa38c,bing,"Kenmore Espresso Machine With Grinder & Milk Frother, Multi",764.99,Kohl's,False,True,unclassified by example rules,True,True,False,False,False,False,False,False
bing-57ea26bbc60418c5fcca,bing,Zulay Kitchen - Automatic Espresso Machine With Grinder & Milk Frother - Fully Automatic Coffee Machine With Touch Screen - Black Silver,640.99,Best Buy Marketplace,False,True,unclassified by example rules,True,True,False,False,False,False,False,False
bing-3a767fdb1b27d5f6e581,bing,"Kenmore Espresso Machine With Grinder & Milk Frother, One Size, Silver",999.99,JCPenney,False,False,unclassified by example rules,True,True,False,False,False,False,False,False
bing-0226c96ea747e414d014,bing,"Espresso Machine With Grinder, Stainless Steel 15 Bar Coffee Machine With Milk Frother Coffee Maker",298.85,Aliexpress,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-cf7e0bab4fab9b646036,bing,De'longhi La Specialista Arte Evo 15-Bar Espresso Machine With Cold Brew And Built-In Grinder De'longhi,699.95,Wayfair,False,True,DeLonghi La Specialista,True,False,True,False,False,False,False,False
bing-7a4dd894626cdd1838bb,bing,"20 Bar Steel Espresso Machine With Grinder, 1.5L Removable Water Tank, Milk Frother Steam Wand, Silver",303.90,Kohl's,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-4aee767a3edd2388f496,bing,"20 Bar Espresso Machine With Grinder & Milk Frother - Professional Espresso Maker With 96Oz Removable Water Tank - Stainless Steel Coffee Machine For Home Café, Cappuccino & Latte Qeetex",404.99,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-637dfaa955608edee186,bing,"Espresso Machine With Grinder & Milk Frother, 20 Bar Coffee And Espresso Maker Combo",397.92,Bed Bath & Beyond,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-489bd0a3c698912610b5,bing,"Professional Espresso Machine With Grinder, 20 Bar Pressure, And Milk Frother",313.72,Bed Bath & Beyond,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-795763ee62a6dc87d9e3,bing,"Kenmore Espresso Machine With Grinder & Milk Frother, Stainless Steel",599.99,Walmart,False,True,unclassified by example rules,True,True,False,False,False,False,False,False
bing-7f3f111cbee269ee207a,bing,Stainless Steel Espresso Machine - 15 Bar Coffee Maker With Grinder Milk Frother And 2.5L Water Tank For Home And Office - Silver,245.98,Walmart,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-12afdfa524d0449cc966,bing,"15 Bar Espresso Machine With Grinder & Milk Frother - 58mm Portafilter, 15 Adjustable Grind Levels, 2.3L Water Tank Garveehome",314.99,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-f3362249ad9b2fc5a85f,bing,"Espresso Machine With Grinder And Milk Frother Steam Wand, 20 Bar Coffee Maker With 95Oz Water Tank, Professional 3 in 1 Espresso Maker For Cappuccino",279.99,Walmart,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-e141ee676b2d57374c79,bing,"Kffkff Semi-Automatic Espresso Maker With Grinder, 15 Bar, Includes Milk Frother Steam Wand, Detachable Water Tank & Pressure Gauge, For Cappuccino, L",279.99,Walmart,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-8769c23a94c64e5e2c67,bing,"Espresso Machine With Grinder, 15 Bar Semi-Automatic Espresso Coffee Maker With Milk Frother Steam Wand, Removable Water Tank & Pressure Gauge For Cappuccino, Latte, Machiato, PID Control System Red Global",529.99,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-411e912414f5df20244c,bing,"Espresso Machine With Integrated Grinder And Auto Milk Frother,20 Bar Espresso Maker With Seconds Heat Up,Steam Wand,Removable Water Tank,Home Cappucc",249.99,Walmart,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-ac43c805e3f355ff97dc,bing,"SIMZLIFE - 4 in 1 Espresso Machine With Grinder ,15 Bar- Coffee Maker W/Milk Frother Steamer Wand & Removable Water Tank - Silver",229.99,Best Buy Marketplace,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-49780aca1fc849f7c953,bing,Vevor Espresso Machine 15 Bar Coffee Maker With Grinder & Milk Frother Steam Wand New BZDYSKFJYMKAH5JSRV1,314.90,FactoryPure,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-c51b817a2f4f21e410ac,bing,"Machine With Grinder Espresso Maker With Powerful Milk Frother, Lcd Display,Stainless Steel Coffee Maker Yesurprise",281.99,Wayfair,False,True,unclassified by example rules,True,True,False,False,False,False,False,False
bing-53824f476ba2160bfcc7,bing,"Espresso Machine With Grinder & Milk Frother Steam Wand - 20 Bar 3-In-1 Professional Coffee Maker With 95Oz Water Tank For Cappuccino & Latte (1450W, Silver) Gaomon Color/Finish: Silver",253.99,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-88be3fcf832ba81e5557,bing,"Garvee Upgraded One-Touch Coffee Maker, Automatic Espresso Coffee Machine With Built-In Grinder & Milk Frother, Silver",583.49,Bed Bath & Beyond,False,True,unclassified by example rules,True,True,False,False,False,False,False,False
bing-b957b9125e5d4f40d253,bing,Fully Automatic Espresso Machine 20 Bar With Auto Milk Frother & Grinder In Silver,377.00,ModeSens,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-78ab0dec86e6470f5227,bing,2025 Smart Automatic Espresso Coffee Machine With Grinder And Milk Frother,142.00,Alibaba B2B,False,True,unclassified by example rules,True,True,False,False,False,False,True,False
bing-78a4158303ba5999efdb,bing,VEVOR Fully Automatic Espresso Machine - With Automatic Milk Frother 20 Bar Super-Automatic Cappuccino Latte Machine With Tft Touch Screen Grinder 15,349.99,VEVOR,True,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-f12e169290a9c9b84123,bing,Fully Automatic Espresso Machine 20 Bar With Auto Milk Frother & Grinder Stellweilan Tessberg,449.99,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-8d114b228c5020df8efd,bing,2025 NEW Stainless Steel Automatic Espresso Coffee Maker With Grinder And Milk Frother Cappuccino With Hot Water System,142.00,Alibaba B2B,False,True,unclassified by example rules,True,True,False,False,False,False,True,False
bing-c6bdaa0d1469b8604073,bing,"Semi-Automatic Espresso Machine With Built-In Grinder And Milk Frother, 20 Bar Pump For Home Baristas Yiimo",299.99,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-716096b1835e7feacc70,bing,"Coffee Machines Espresso With Milk Frother& Grinder, All In One Cappuccino Latte Coffee Maker For Home Kitchen Gaomon",339.99,Wayfair,False,True,unclassified by example rules,True,True,False,False,False,False,False,False
bing-b79dd022ff37659d63c9,bing,Cusimax 20Bar Espresso Machine With Builtin Grinder & Milk Frother Professionalgrade Cappuccino & Latte Maker With Large Removable Water Tank For Home,189.99,Walmart,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-a15d1f38b1dc51ed7985,bing,"Miele CM 6160 Milk Perfection Automatic Wifi Coffee Maker & Espresso Machine Combo - Grinder, Milk Frother Miele Color: Obsidian Black",2699.00,Wayfair,False,False,unclassified by example rules,True,True,False,False,False,False,False,False
bing-c47ac48a6480f94b7fe3,bing,"20 Bar Espresso Machine With Grinder & Milk Frother, 75 Oz Stainless Steel Water Tank - Perfect For Cappuccino & Latte HAVATO",289.99,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-246d156a6e0b551087f6,bing,Mcilpoog ES317 Fully Automatic Espresso Machin…,600.00,Amazon.com,False,True,unclassified by example rules,False,False,False,True,False,False,False,True
bing-5cb15bf925264f5f7c79,bing,"Breville Bambino Espresso Machine, Silver",299.95,Williams Sonoma,True,True,Breville Bambino (other),False,False,False,False,False,False,False,True
bing-d8cd0103f86807cbe054,bing,Breville BES876BSS Barista Express Impress…,649.95,Amazon.com,False,True,Breville Barista Express Impress,False,False,False,True,False,False,False,True
bing-bf04f82902a2e86eb9a0,bing,Glowsol Espresso Machine With Bean Gri…,399.99,Amazon.com,False,True,unclassified by example rules,False,False,False,True,False,False,False,True
bing-a8943b6c1b0ab8bf519e,bing,De'longhi Dinamica Lattecrema Espress…,1399.95,Amazon.com,False,False,unclassified by example rules,False,False,False,True,False,False,False,True
bing-8d1593f348876cb46024,bing,Garvee Espresso Machine With Grinder…,284.19,Amazon.com,False,True,unclassified by example rules,True,False,False,True,False,False,False,True
bing-745ad3d683396190aa8b,bing,20 Bar Espresso Machine With Conical Burr Grinder …,215.99,Target,False,True,unclassified by example rules,True,False,True,True,False,False,False,True
bing-043b3bd9fefe3549a699,bing,"Kitchenaid Fully Automatic Espresso Machine KF7, K…",1699.99,Amazon.com,False,False,unclassified by example rules,False,False,False,True,False,False,False,True
bing-235d6f87aeaf484b667c,bing,"Bluebow Espresso Machine With Grinder, 20Bar Semi-A…",169.99,Walmart,False,True,unclassified by example rules,True,False,True,True,False,False,False,True
bing-26e29f79435e25dff4d5,bing,"Euker Espresso Machine With Milk Frother, 20 Ba…",349.99,Amazon.com,False,True,unclassified by example rules,False,True,False,True,False,False,False,True
bing-66feec58aea71a4dcd4a,bing,"Espresso Machine With Grinder, Professional …",308.60,Walmart,False,True,unclassified by example rules,True,False,False,True,False,False,False,True
bing-cc603daf376c2da258aa,bing,Professional Espresso Machine With Automatic Mil…,105.00,Target,False,True,unclassified by example rules,False,False,False,True,False,False,False,True
bing-c19fa05391f0fce29eba,bing,"Garvee All-In-One Espresso Machine With Milk Frother, …",339.99,garvee.com,False,True,unclassified by example rules,False,True,False,True,False,False,False,True
bing-7aee0d3e082e29c65aad,bing,Espresso Machine With Grinder 2 Cups 15 Bar …,314.90,Home Depot,False,True,unclassified by example rules,True,False,True,True,False,False,False,True
bing-da122d4ff0491fe8f7b7,bing,"Garvee Espresso Machine Built-In Grinder, High Powe…",270.99,Amazon.com,False,True,unclassified by example rules,True,False,False,True,False,False,False,True
bing-66706af26cfa11b9a25e,bing,"Espresso Machine With Grinder, 20-Bar Coffe…",499.00,Target,False,True,unclassified by example rules,True,False,True,True,False,False,False,True
bing-8950e5add26a7c27a04b,bing,COWSAR 20 Bar Espresso Machine With Grinder & …,289.99,Amazon.com,False,True,unclassified by example rules,True,False,True,True,False,False,False,True
bing-bd565533f9ad73c5b2f9,bing,Capresso Cafe TS Espresso Machine: 1…,179.99,Target,True,True,unclassified by example rules,False,False,False,True,False,False,False,True
bing-3612cc60a603cc2a121e,bing,"Professional Espresso Machine With Grinder, 2…",320.70,Bed Bath & Beyond,False,True,unclassified by example rules,True,False,False,True,False,False,False,True
bing-fde37665dcb51cf20288,bing,De'longhi Eletta Explore Espresso Machine With Cof…,1974.00,Amazon.com,False,False,unclassified by example rules,False,False,False,True,False,False,False,True
bing-2533308e2e98b121aa7c,bing,"Electactic 20-Bar Programmable Espresso Maker - 30 Grinder, Milk Frother, Silver ELECTACTIC",479.99,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-cb2691cc12932a344507,bing,"Super Automatic Espresso Maker With Milk Frother & Grinder - 19 Recipes, 7"" Screen, Self-Clean - Silver Garveehome",459.99,Wayfair,False,True,unclassified by example rules,True,True,False,False,False,False,False,False
bing-8f10d51014cf65585106,bing,20Bar Espresso Coffee Maker With Milk Frother Steam Wand And Built-In Bean Grinder Combo Cappuccino,103.00,Alibaba B2B,False,True,unclassified by example rules,True,True,True,False,False,False,True,False
bing-da2ad966a94911e550e6,bing,"20 Bar Espresso Coffee Machine For Home - Italian-Style Professional Maker With Integrated Grinder & Adjustable Shot Volume, Milk Frother Steam Wand, 1.5L Removable Tank (Silver) Yesurprise Color/Finish: Silver",149.99,Wayfair,True,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-d2b74b50a379b8bf71a0,bing,"Breville Barista Express Impress Stainless Steel Espresso Maker BES876BSS1BNA1: 15 Bars Pressure, Milk Frother, Grinder",649.99,Target,False,True,Breville Barista Express Impress,True,True,True,False,False,False,False,False
bing-642b3aa66942aa92919f,bing,highly rated,295.99,Wayfair,False,True,unclassified by example rules,True,True,False,False,False,False,False,False
bing-fa4b67e72a20363a3a83,bing,"3-In-1 Espresso Machine With Built-In Grinder And Detachable Milk Frother - Adjustable Settings, Removable Components For Home Baristas Yiimo Color/Finish: Silver",519.99,Wayfair,False,True,unclassified by example rules,True,True,False,False,False,False,False,False
bing-279eae4c2ca43329b99d,bing,"Espresso Machine, 3-In-1 Coffee Maker With Built-In Grinder And Milk Frother, 20 Bar Latte",405.57,Bed Bath & Beyond,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-fccd193ca26cd84354d0,bing,"Electactic Espresso Machine With Grinder, 20 Bar Expresso Coffee Machines With Milk Frother Steam Wand, Professional Espresso Maker With Removable Water Tank, Cappuccino & Latte Machine For Home ELECTACTIC",259.98,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-b12fe1c8799d05fb17db,bing,"20 Bar Espresso Machine With Built-In Grinder - Stainless Steel Coffee Maker With 2.8L Removable Water Tank, Adjustable Shot Volume & Milk Frother Steam Wand For Latte & Cappuccino - Home & Office Use (Black) Yesurprise Color/Finish: Black",229.99,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-598a25770e0646e11052,bing,"Stainless Steel Bean-To-Cup Espresso Machine With Silver Plating, Built-In Grinder & Milk Frother Yiimo",299.44,Wayfair,False,True,unclassified by example rules,True,True,False,False,False,False,False,False
bing-7cfc23a4d72ab8cddc12,bing,20 Bar Espresso Machine With Grinder - Professional Stainless Steel Coffee Maker With 1.5L Removable Tank & Milk Frother Steam Wand (Black Spray Paint) Gaomon Color/Finish: Black,158.99,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-de5815903f1a66c03dd8,bing,"Breville Stainless Steel Barista Express Espresso Machine Light Silver BES870XL: 15 Bars Pressure, Milk Frother, Grinder",699.99,Target,False,True,Breville Barista Express (other),True,True,True,False,False,False,False,False
bing-06ecaee9987908e939f7,bing,"20Bar Espresso Machine With Milk Frother - Fully Automatic Coffee Maker, Built-In Grinder, Smart",378.99,Aliexpress,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-0ad455c532a1a56440eb,bing,"COWSAR 20 Bar Fully Automatic Coffee Machine With Built-In Grinder,Espresso Machine One-Touch Americano, Latte, And Cappuccino Settings, Milk Frother, Perfect For Home And Office. COWSAR",349.99,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-2253f3f1a1db82e39a09,bing,"Stainless Steel Espresso Machine With Grinder & 20 Bar Pressure, 2.8L Removable Water Tank, Milk Frother Steam Wand For Latte/Cappuccino - Adjustable Shot Volume, Professional Home/Office Use Garveehome Color/Finish: Black",304.99,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-6ef1889ee70cba19d8b6,bing,"Espresso Coffee Machine With Grinder, 20 Bar Semi-Automatic Espresso Maker With Milk Frother Steamer",215.49,Aliexpress,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-66be295b3b74afa89027,bing,"Vevor Espresso Machine With Grinder, 15 Bar Semi-Automatic Espresso Coffee Maker With Milk Frother Steam Wand, Removable Water Tank & Pressure Gauge F",259.99,Walmart,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-2c2f1fbf5b6cb7437e5f,bing,"Simzlife Espresso Machine With Grinder, 15 Bar Coffee Maker With Milk Frother Steamer Wand, Removable Water Tank, Silver Simzlife",232.99,Wayfair,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-891bc38dc8624017a975,bing,"15 Bar Espresso Machine With Built-In Conical Burr Grinder & Milk Frother, Grey",369.99,Kohl's,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-d07c4f63d528c13b73b4,bing,"My Home Finds CUSIMAX Espresso Machine With Grinder, 20 Bar Professional Expresso Coffee Machines With Milk Frother Steam Wand, Espresso Maker With 60",411.98,Shop,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-43d976648909711515b7,bing,"Garvee Automatic Espresso Machine, Coffee Machine With Grinder, Espresso Maker With Automatic Milk Frother, 20 Bar Latte Machine, TFT Touch Screen For",415.99,garvee.com,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-8fa3d2e2f68153f6ceb7,bing,Blissbrew 20 Bar Espresso Machine With Grinder & Milk Frother,811.99,Shop,False,False,unclassified by example rules,True,True,True,False,False,False,False,False
bing-c6fb2f544f58efa54ddf,bing,"My Home Finds Cafe Bueno Super Automatic Espresso Machine For Home - Coffee Machine With Grinder & Milk Frother For Latte, Cappuccino, Macchiato - Aut",1539.98,Shop,False,False,unclassified by example rules,True,True,False,False,False,False,False,False
bing-aec05e7b187dcd09b99b,bing,"Brew & Bite Espresso Machine With Grinder, 20 Bar Espresso Machine With Milk Frother Steam Wand, Espresso Machines For Home, Expresso Coffee Machines",639.58,Shop,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-433d82ce40e1ab37058d,bing,"Tip And Glow CUSIMAX Espresso Machine With Grinder, 20 Bar Professional Expresso Coffee Machines With Milk Frother Steam Wand, Espresso Maker With 60O",444.94,Shop,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-8442d35127d53d9e6023,bing,De'longhi Delonghi La Specialista Maestro Espresso Machine With Grinder Auto Manual Milk Frother Beantocup Cold Brew Coffee With Cold Extra,1722.92,alumigogo,False,False,DeLonghi La Specialista,True,True,False,False,False,False,False,False
bing-12c11efcac9385635a63,bing,Kenmore Elite Automatic-Tamp Espresso Machine With Grinder & Frother,857.49,Bed Bath & Beyond,False,False,unclassified by example rules,True,True,False,False,False,False,False,False
bing-0d72a0b33c2281fdb579,bing,Kismile 2026 Upgrade Espresso Machine With Grinder 20 Bar Expresso Coffee Machines With Milk Frother Espresso Machines For Home Removable Water Tank P,426.83,alumigogo,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-1d87ad748e0d8087a595,bing,All In One Espresso Maker & Espresso Machine With Grinder For Home Coffee Maker With Milk Frother Steam Wand,79.90,Alibaba B2B,False,True,unclassified by example rules,True,True,False,False,False,False,True,False
bing-149398435225d78bbcdf,bing,Blissbrew Espresso Machine With Grinder And Milk Frother,798.99,Shop,False,True,unclassified by example rules,True,True,False,False,False,False,False,False
bing-ae7d0b6a74c258277a6b,bing,"Delonghi Fully Automatic Espresso Machine, Integrated Grinder, 2 Removable Bean Hoppers, Automatic Milk Frother - Pebble Gray",1299.99,Best Buy,False,False,unclassified by example rules,True,True,False,False,False,False,False,False
bing-6f3c8429d6f8100d9502,bing,"Euhomy Espresso Machine With Grinder 20 Bar Professional Espresso Coffee Maker For Home With Milk Frother For Latte Cappuccino Baristastyle Drinks, G",426.83,alumigogo,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-f98873611a65ecad76e9,bing,"VVOR Espresso Machine With Grinder, 15 Bar Semi-Automatic Espresso Coffee Maker With Milk Frother Steam Wand, Removable Water Tank & Pressure Gauge",491.24,Simon.com,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-21f0df6edf908a377e97,bing,"COZONY 15-Bar Espresso Machine With Grinder, Semi-Automatic, Dual PID, 80Oz Tank, Milk Frother, Self-Cleaning",399.99,Target,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-bed8b9364df3756f1388,bing,"VEVOR Espresso Machine With Grinder, 15 Bar Semi-Automatic Espresso Coffee Maker With Milk Frother Steam Wand, Removable Water Tank & Pressure Gauge",314.90,Target,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-7df661c69ff5be07d0e8,bing,"COZONY 15-Bar Espresso Machine With Grinder, PID …",425.99,Target,False,True,unclassified by example rules,True,False,True,True,False,False,False,True
bing-b546aa5fcf249468f3a9,bing,Pioneerworks 20 Bar Espresso Machine With Grinder Professional Barista Latte Espresso Maker With Milk Frother Steam Wand 28L Removable Water Tank Sem,451.11,alumigogo,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-1645eae370aa2faace49,bing,"YUN Professional Espresso Machine With Grinder, 20 Bar Pressure, And Milk Frother",313.72,Bed Bath & Beyond,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-62318854f139fa1c490b,bing,"Garvee All-In-One Espresso Machine With Milk Frother, Cappuccino Latte Coffee Maker For Home Barista, Built-In Bean Grinder, 85Oz Removable Water",339.99,garvee.com,False,True,unclassified by example rules,True,True,False,False,False,False,False,False
bing-daeae43d27e5dd10228b,bing,Gevi 2026 Upgrade 20 Bar Espresso Machine With Grinder Milk Frother Professional Coffee Maker For Home Cappuccino Latte Removable Water Tank Steam W,281.34,alumigogo,False,True,unclassified by example rules,True,True,True,False,False,False,False,False
bing-c38b56839ad995d22f18,bing,"De'longhi Magnifica Start Automatic Espresso Machine, Milk Frother, Black",579.99,Findthedeal US,False,True,DeLonghi Magnifica Start,False,True,False,False,False,False,False,False
