example_family,records,minimum_card_price_usd,maximum_card_price_usd,ever_returned,record_ids
Nespresso,4,167.95,289.99,0,bing-ecbf287c638e8bc5e48f;bing-d2e55c6a42c587e61799;bing-63d4266e9468270e81dd;bing-7b3a0a523c76e961fbbc
DeLonghi Rivelia,3,519.98,1299.99,0,bing-9f57bf365379aa49271a;bing-941e92e86101e9aceebd;bing-d4dc97d84bd15f52e3f1
Philips 3300,3,530.00,899.99,1,bing-319049616d40eac8f983;bing-d9b40824ac659c74f7b9;google-0572500f0732845cad88
Philips 5500,3,693.00,1299.95,0,google-70d858d19fd46fafb853;google-2fb2d250ff7b3427abbb;google-add4d25806a810d8974a
Breville Bambino Plus,2,499.95,499.95,1,google-bbbd53043c8ed53733ef;google-3b9354533c919d9b619d
Breville Barista Touch Impress,2,1199.95,1499.95,0,google-e9eb8fe30b1ea9d40fd8;google-bb29f03511fde44d2851
Breville Oracle Jet,2,1999.95,1999.95,0,bing-14973aea8f44e2a0ae26;google-df929791eeb4aa842e70
Chefman Crema Deluxe,2,399.99,499.99,0,google-4b850be38b09081be841;google-ce916892b069dd413070
Ninja AutoBarista,2,899.99,899.99,0,bing-18c5254095648822242f;google-a4db3db5cf9c03fa2ab6
Ninja Mini (other),2,449.99,449.99,1,bing-826018f7a2d5509c15e2;google-c1ac723b3479e478c13f
Chefman Crema Supreme,1,329.99,329.99,1,google-73d649a23e17eb409d3e
DeLonghi Magnifica Evo Next,1,1099.95,1099.95,0,google-71336ad308e6154992c2
Ninja Mini Plus,1,499.99,499.99,0,google-18c983a8c06618560292
Philips 1200,1,454.99,454.99,1,bing-b962137b20d59540339b
Philips Barista Brew,1,429.99,429.99,1,google-52599dc6158698ca86ad
